EU,Product.Type,Product.Type.Code,Product.Subtype,Product.Subtype.Code,Product.Subtype.Code.Check,Product,Product.Simple,Product.Simple.Code,Product.Code.Check,Component,Latin.Name,Notes,Nfix,Tree,Mulched,Incorp,Unknown.Fate,ECOCROP.Name,ECOCROP.Notes,ICC_Code_1.1,ICC_CropName,Livestock_Group,Livestock_Class,Livestock_Descriptor,CPC_Code_2.1,WFO_Code,UN_Comtrade_Code_1,UN_Comtrade_Description_1,UN_Comtrade_Code_2,UN_Comtrade_Description_2,Ref_Source,Ref_Name,Ref_Link,Ref_Match,Ref_Notes,Ref2_Source,Ref2_Name,Ref2_Link,Ref2_Match,Ref2_Notes
a10,Animal,Animal,Eggs (Stored),Egg,TRUE,Stored Eggs (Chicken),Eggs,Egg,TRUE,NA,,Only to be used for storage papers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,146,raising of poultry-production of eggs,no match,NA,40721,"birds' eggs, in shell; fresh, not for incubation, of fowls of the species Gallus domesticus (domestic hens)",,,,,,,,,,,,
a11,Animal,Animal,Eggs (Stored),Egg,TRUE,Stored Eggs (Other),Eggs,Egg,TRUE,NA,,Only to be used for storage papers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,146,raising of poultry-production of eggs,no match,NA,407,"birds' eggs, in shell; fresh, preserved or cooked",,,,,,,,,,,,
a5,Animal,Animal,Bovine,Bo,TRUE,Buffalo,Buffalo,Buf,TRUE,Meat,Bubalus bubalis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,buffaloes,2112,NA,201,meat of bovine animals; fresh or chilled,,,,,,,,,,,,
a6,Animal,Animal,Camelid,Cam,TRUE,Camel (Meat),Camel,Cam,TRUE,Meat,Camelus dromedarius,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,51,camels,2121,NA,20860,"meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen",,,,,,,,,,,,
a6.1,Animal,Animal,Camelid,Cam,TRUE,Camel (Milk),Camel,Cam,TRUE,Milk,Camelus dromedarius,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,51,camels,2121,NA,10613,"mammals; live, camels and other camelids (Camelidae)",401,"milk and cream; not concentrated, not containing added sugar or other sweetening matter",,,,,,,,,,
a8,Animal,Animal,Bovine,Bo,TRUE,Cattle (Meat),Cattle,Cat,TRUE,Meat,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,cattle,2111,NA,201,meat of bovine animals; fresh or chilled,,,,,,,,,,,,
a8.1,Animal,Animal,Bovine,Bo,TRUE,Cattle (Milk),Cattle,Cat,TRUE,Milk,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,cattle,2111,NA,401,"milk and cream; not concentrated, not containing added sugar or other sweetening matter",,,,,,,,,,,,
a13,Animal,Animal,Caprine,Cap,TRUE,Goat (Meat),Goat,Goa,TRUE,Meat,Capra aegagrus hircus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,goats,2123,NA,20450,"meat; of goats, fresh, chilled or frozen",,,,,,,,,,,,
a13.1,Animal,Animal,Caprine,Cap,TRUE,Goat (Milk),Goat,Goa,TRUE,Milk,Capra aegagrus hircus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,goats,2123,NA,10420,Goats; live,401,"milk and cream; not concentrated, not containing added sugar or other sweetening matter",,,,,,,,,,
a16,Animal,Animal,Porcine,Por,TRUE,Pig,Pigs,Pig,TRUE,Meat,Sus scrofa domesticus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,swine/ pigs,2140,NA,203,"meat of swine; fresh, chilled or frozen",,,,,,,,,,,,
a18,Animal,Animal,Rodent,Ro,TRUE,Rabbit,Rabbit,Rab,TRUE,Meat,Oryctolagus cuniculus domesticus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,72,rabbits and hares,2191,NA,20810,"meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen",,,,,,,,,,,,
a20,Animal,Animal,Caprine,Cap,TRUE,Sheep (Meat),Sheep,Shee,TRUE,Meat,Ovis aries,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,sheep,2122,NA,204,"meat of sheep or goats; fresh, chilled or frozen",,,,,,,,,,,,
a20.1,Animal,Animal,Caprine,Cap,TRUE,Sheep (Milk),Sheep,Shee,TRUE,Milk,Ovis aries,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,sheep,2122,NA,10410,sheep; live,401,"milk and cream; not concentrated, not containing added sugar or other sweetening matter",,,,,,,,,,
a20.2,Animal,Animal,Caprine,Cap,TRUE,Sheep (Wool),Sheep,Shee,TRUE,Wool,Ovis aries,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,sheep,2122,NA,10410,sheep; live,,,,,,,,,,,,
a14,Animal,Animal,Equine,Eq,TRUE,Horse,Horse,Hors,TRUE,Meat,Equus ferus caballus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,41,horses,2131,NA,20500,"meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",,,,,,,,,,,,
a15,Animal,Animal,Equine,Eq,TRUE,Donkey & Mule,Donkey,Don,TRUE,Meat,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,42-43,asses-mules and hinnies,02132-02133,NA,20500,"meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",,,,,,,,,,,,
a35,Animal,Animal,Rodent,Ro,TRUE,Guinea Pig,Guinea Pig,GuPi,TRUE,Meat,Cavia porcellus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no match,no match,no match,no match,NA,no match,,,,,,,,,,,,,
a33,Animal,Animal,Milk (Stored),MiS,TRUE,Stored Milk,Milk,Mil,TRUE,Milk,,Only to be used for storage papers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,141,production of raw cow milk from cows or buffaloes-production of raw sheep or goat milk,,NA,401,"milk and cream; not concentrated, not containing added sugar or other sweetening matter",,,,,,,,,,,,
a7,Animal,Animal,Poultry,Pou,TRUE,Chicken (Meat),Chicken,Chick,TRUE,Meat,Gallus gallus domesticus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,61,chickens,2151,NA,207,"meat and edible offal of poultry; of the poultry of heading no. 0105, (i.e. fowls of the species Gallus domesticus), fresh, chilled or frozen",,,,,,,,,,,,
a7.1,Animal,Animal,Poultry,Pou,TRUE,Chicken (Eggs),Chicken,Chick,TRUE,Eggs,Gallus gallus domesticus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,61,chickens,2151,NA,40721,"birds' eggs, in shell; fresh, not for incubation, of fowls of the species Gallus domesticus (domestic hens)",,,,,,,,,,,,
a9,Animal,Animal,Poultry,Pou,TRUE,Duck,Duck,Duc,TRUE,Meat,Anas platyrhynchos domesticus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,64,ducks,2154,NA,10513,"poultry; live, ducks, weighing not more than 185g",2,meat and edible offal,,,,,,,,,,
a12,Animal,Animal,Poultry,Pou,TRUE,Geese,Geese,Gee,TRUE,Meat,Anser anser domesticus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,63,geese,2153,NA,10514,"poultry; live, geese, weighing not more than 185g",2,meat and edible offal,,,,,,,,,,
a22,Animal,Animal,Poultry,Pou,TRUE,Turkey,Turkey,Turk,TRUE,Meat,Meleagris gallopavo,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,62,turkeys,2152,NA,10512,"poultry; live, turkeys, weighing not more than 185g",2,meat and edible offal,,,,,,,,,,
a4,Animal,Animal,Poultry,Pou,TRUE,Bird (Other),Other Bird,OtBi,TRUE,Meat,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,76,other birds (e.g pigeons),2194,NA,10639,"birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",2,meat and edible offal,,,,,,,,,,
a34,Animal,Animal,Poultry,Pou,TRUE,Domestic Guineafowl,Guineafowl,GuFo,TRUE,Meat,Numida meleagris,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,guinea fowls,2155,NA,10515,"poultry; live, guinea fowls, weighing not more than 185g",2,meat and edible offal,,,,,,,,,,
a36,Animal,Animal,Poultry,Pou,TRUE,Ostrich,Ostrich,Ost,TRUE,Meat,Struthio camelus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,75,ostriches and emus,2193,NA,10633,"birds; live, ostriches; emus (Dromaius novaehollandiae)",2,meat and edible offal,,,,,,,,,,
a36.1,Animal,Animal,Poultry,Pou,TRUE,Ostrich,Ostrich,Ost,TRUE,Eggs,Struthio camelus,,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,75,ostriches and emus,2193,NA,10633,"birds; live, ostriches; emus (Dromaius novaehollandiae)",407,"birds' eggs, in shell; fresh, preserved or cooked",,,,,,,,,,
a38,Animal,Animal,Poultry,Pou,TRUE,Japanese Quail,Quail,Qua,TRUE,Meat,Cortunix cortunix japonica,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no match,no match,no match,no match,NA,no match,,,,,,,,,,,,,
a23,Animal,Animal,Seafood,Sf,TRUE,Crustacean,Crustacean,Cru,TRUE,Meat,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no match,no match,no match,no match,NA,306,"crustaceans; in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked, cooked or not before or during smoking; in shell, steamed or boiled, whether or not chilled, frozen, dried, salted or in brine; edible flours, meals, pellets",2,meat and edible offal,,,,,,,,,,
a24,Animal,Animal,Seafood,Sf,TRUE,Fish,Fish,Fis,TRUE,Meat,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no match,no match,no match,no match,NA,304,"fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",,,,,,,,,,,,
a25,Animal,Animal,Seafood,Sf,TRUE,Shellfish,Shellfish,ShFi,TRUE,Meat,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no match,no match,no match,no match,NA,no match,,,,,,,,,,,,,
a26,Animal,Animal,Seafood,Sf,TRUE,Cephalapod,Cephalapod,Cep,TRUE,Meat,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no match,no match,no match,no match,NA,30751,"molluscs; octopus (Octopus spp.), live, fresh or chilled",2,meat and edible offal,,,,,,,,,,
a37,Animal,Animal,Seafood,Sf,TRUE,Collector Urchin,Collector Urchin,Col,TRUE,Meat,Tripneustes gratilla,,NA,NA,NA,NA,NA,NA,NA,NA,NA,no match,no match,no match,no match,NA,30821,"aquatic invertebrates; sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), live, fresh or chilled",2,meat and edible offal,,,,,,,,,,
a21,Animal,Animal,Gastropod,Ga,TRUE,Snail,Snail,Sna,TRUE,Meat,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,149,"raising of other animals-operation of worm farms, land mollusc farms, snail farms, etc.",,NA,no match,,,,,,,,,,,,,
c2,Plant,Plant,Cereals,Ce,TRUE,Amaranth (Grain),Amaranth,Amar,TRUE,Seed,Amaranthus sp,,No,No,b27.2,b41.2,b40.2,Amaranthus sp.,,no match,no match,NA,NA,NA,NA,wfo-4000001466,no match,,,,,,,,,,,,,
c3,Plant,Plant,Cereals,Ce,TRUE,Barley,Barley,Bar,TRUE,Seed,Hordeum vulgare,,No,No,b27.2,b41.2,b40.2,Hordeum vulgare,,1.05,barley,NA,NA,NA,NA,wfo-0000875054,100310,"cereals; barley, seed",,,,,,,,,,,,
c4,Plant,Plant,Cereals,Ce,TRUE,Buckwheat,Buckwheat,Buc,TRUE,Seed,Fagopyrum esculentum,,No,No,b27.2,b41.2,b40.2,Fagopyrum esculentum,,1.1,buckwheat,NA,NA,NA,NA,wfo-0000685460,100810,cereals; buckwheat,,,,,,,,,,,,
c6,Plant,Plant,Cereals,Ce,TRUE,Fonio,Fonio,Fon,TRUE,Seed,Digitaria sp,,No,No,b27.2,b41.2,b40.2,Digitaria sp.,,1.11,fonio,NA,NA,NA,NA,wfo-4000011700,100840,cereals; fonio (Digitaria spp.),,,,,,,,,,,,
c7,Plant,Plant,Cereals,Ce,TRUE,Maize,Maize,Mai,TRUE,Seed,Zea mays,,No,No,b27.2,b41.2,b40.2,Zea mays ssp. mays,,1.02,"maize, ordinary",NA,NA,NA,NA,wfo-0000907754,100510,"cereals; maize (corn), seed",,,,,,,,,,,,
c8,Plant,Plant,Cereals,Ce,TRUE,Millet (Other),Other Millet,OtMi,TRUE,Seed,Echinochloa sp,,No,No,b27.2,b41.2,b40.2,Echinochloa sp.,cereal crops only (Echinochloa crus-galli + Echinochloa frumentacea),1.08,"millet, japanese",NA,NA,NA,NA,wfo-4000012916,100821,"cereals; millet, seed",,,,,,,,,,,,
c16,Plant,Plant,Cereals,Ce,TRUE,Finger Millet,Finger Millet,FiMi,TRUE,Seed,Eleusine coracana,,No,No,b27.2,b41.2,b40.2,Eleusine coracana ssp. coracana,,1.08,"millet, finger",NA,NA,NA,NA,wfo-0000865686,no match,,,,,,,,,,,,,
c17,Plant,Plant,Cereals,Ce,TRUE,Pearl Millet,Pearl Millet,PeMi,TRUE,Seed,Pennisetum glaucum,,No,No,b27.2,b41.2,b40.2,Pennisetum glaucum,,1.08,"millet, pearl (bajra, bulrush)",NA,NA,NA,NA,wfo-0000888897,no match,,,,,,,,,,,,,
c9,Plant,Plant,Cereals,Ce,TRUE,Oats,Oats,Oat,TRUE,Seed,Avena sativa,,No,No,b27.2,b41.2,b40.2,Avena sativa,,1.07,"oats, for grain",NA,NA,NA,NA,wfo-0000852231,100410,"cereals; oats, seeds",,,,,,,,,,,,
c10,Plant,Plant,Cereals,Ce,TRUE,Quinoa,Quinoa,Quin,TRUE,Seed,Chenopodium quinoa,,No,No,b27.2,b41.2,b40.2,Chenopodium quinoa,,1.12,quinoa,NA,NA,NA,NA,wfo-0000601712,100850,cereals; quinoa (Chenopodium quinoa),,,,,,,,,,,,
c11,Plant,Plant,Cereals,Ce,TRUE,Rice,Rice,Rice,TRUE,Seed,Oryza sativa,,No,No,b27.2,b41.2,b40.2,Oryza sativa,Oryza sativa + Oryza sativa ssp. Indica + Oryza sativa ssp. javanica,1.03,rice,NA,NA,NA,NA,wfo-0000882438,1006,rice,,,,,,,,,,,,
c12,Plant,Plant,Cereals,Ce,TRUE,Rye,Rye,Rye,TRUE,Seed,Secale cereale,,No,No,b27.2,b41.2,b40.2,Secale cereale,,1.06,rye,NA,NA,NA,NA,wfo-0000898524,100210,"cereals; rye, seed",,,,,,,,,,,,
c13,Plant,Plant,Cereals,Ce,TRUE,Sorghum,Sorghum,Sor,TRUE,Seed,Sorghum bicolor,,No,No,b27.2,b41.2,b40.2,Sorghum bicolor,,1.04,sorghum,NA,NA,NA,NA,wfo-0000900184,100710,"cereals; grain sorghum, seed",,,,,,,,,,,,
c14,Plant,Plant,Cereals,Ce,TRUE,Wheat,Wheat,Whe,TRUE,Seed,Triticum aestivum,,No,No,b27.2,b41.2,b40.2,Triticum aestivum,Triticum aestivum,1.01,wheat,NA,NA,NA,NA,wfo-0000905667,100191,"cereals; wheat and meslin, other than durum wheat, seed",,,,,,,,,,,,
c15,Plant,Plant,Cereals,Ce,TRUE,Teff,Teff,Tef,TRUE,Seed,Eragrostis tef,,No,No,b27.2,b41.2,b40.2,Eragrostis tef,,1.9,tef,NA,NA,NA,NA,wfo-0000868504,no match,,,,,,,,,,,,,
c18,Plant,Plant,Cereals,Ce,TRUE,Durum Wheat,Durum Wheat,Dur,TRUE,Seed,Triticum durum,,No,No,b27.2,b41.2,b40.2,Triticum durum,,1.01,durum wheat,NA,NA,NA,NA,wfo-0000905945,100111,"cereals; wheat and meslin, durum wheat, seed",,,,,,,,,,,,
c19,Plant,Plant,Cereals,Ce,TRUE,Triticale,Triticale,Trit,TRUE,Seed,× Triticosecale,,No,No,b27.2,b41.2,b40.2,NA,NA,1.09,triticale,NA,NA,NA,NA,wfo-4000039396,100860,cereals; triticale,,,,,,,,,,,,
d2,Plant,Plant,Fibre & Wood,FiWo,TRUE,Agave,Agave,Aga,TRUE,Fibre,Agave sp,,No,No,b27.2,b41.2,b40.2,Agave sp.,Agave cantala + Agave fourcroydes + Agave lecheguilla,9.02.02,henequen-maguey,NA,NA,NA,NA,wfo-4000000928,560721,"twine; binder or baler twine, of sisal or other textile fibres of the genus agave",,,,,,,,,,,,
d4,Plant,Plant,Fibre & Wood,FiWo,TRUE,Coir (Coconut Fiber),Coir,Coi,TRUE,Fibre,Cocos nucifera,,No,Yes,a17.1,a17.2,a17,Cocos nucifera,,4.04.01,coconut,NA,NA,NA,NA,wfo-0000903570,5305,"coconut, abaca (manila hemp or musa textilis nee), ramie and other vegetable textile fibres n.e.c., raw or processed but not spun; tow, noils and waste of these fibres (including yarn waste and garnetted stock)",,,,,,,,,,,,
d5,Plant,Plant,Fibre & Wood,FiWo,TRUE,Cotton,Cotton,Cott,TRUE,Unspecified,Gossypium sp,,No,No,b27.2,b41.2,b40.2,Gossypium sp.,Gossypium barbadense + Gossypium hirsutum + Gossypium arboreum + Gossypium herbaceum,9.02.01.01,cotton (all varieties),NA,NA,NA,NA,wfo-4000016081,5201,cotton; not carded or combed,,,,,,,,,,,,
d5.2,Plant,Plant,Fibre & Wood,FiWo,TRUE,Cotton (Lint or Fibre),Cotton,Cott,TRUE,Fibre,Gossypium sp,,No,No,b27.2,b41.2,b40.2,Gossypium sp.,Gossypium barbadense + Gossypium hirsutum + Gossypium arboreum + Gossypium herbaceum,9.02.01.01,cotton (all varieties),NA,NA,NA,NA,wfo-4000016081,5201,cotton; not carded or combed,,,,,,,,,,,,
d6,Plant,Plant,Fibre & Wood,FiWo,TRUE,Flax,Flax,Fla,TRUE,Fibre,Linum usitatissimum,,No,No,b27.2,b41.2,b40.2,Linum usitatissimum,,9.02.01.04,flax for fibre,NA,NA,NA,NA,wfo-0000366385,5301,"flax, raw or processed but not spun; flax tow and waste (including yarn waste and garnetted stock)",,,,,,,,,,,,
d7,Plant,Plant,Fibre & Wood,FiWo,TRUE,Hemp,Hemp,Hem,TRUE,Fibre,Cannabis sativa ssp indica,,No,No,b27.2,b41.2,b40.2,Cannabis sativa ssp. indica,,9.02.01.05,hemp fibre,NA,NA,NA,NA,wfo-0000584006,5302,"true hemp (Cannabis sativa l.), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garnetted stock)",,,,,,,,,,,,
d16,Plant,Plant,Fibre & Wood,FiWo,TRUE,Jute Mallow or Nalta Jute,Jute Mallow,Jut,TRUE,Fibre,Corchorus olitorius,,No,No,b27.2,b41.2,b40.2,Corchorus olitorius,,9.02.01.02,jute,NA,NA,NA,NA,wfo-0000620125,5303,"jute and other textile bast fibres (not flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibres, including yarn waste and garnetted stock",,,,,,,,,,,,
d8,Plant,Plant,Fibre & Wood,FiWo,TRUE,White Jute,White Jute,Whi,TRUE,Fibre,Corchorus capsularis,,No,Yes,a17.1,a17.2,a17,Corchorus capsularis,,9.02.01.02,jute,NA,NA,NA,NA,wfo-0000620030,5303,"jute and other textile bast fibres (not flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibres, including yarn waste and garnetted stock",,,,,,,,,,,,
d9,Plant,Plant,Fibre & Wood,FiWo,TRUE,Kapok,Kapok,Kap,TRUE,Fibre,Ceiba sp,,No,Yes,a17.1,a17.2,a17,Ceiba sp.,Ceiba pentandra + Bombax ceiba,9.02.02,kapok,NA,NA,NA,NA,wfo-4000007120,no match,,,,,,,,,,,,,
d10,Plant,Plant,Fibre & Wood,FiWo,TRUE,Manila or Abaca,Manila,Mani,TRUE,Fibre,Musa textilis,,No,Yes,a17.1,a17.2,a17,Musa textilis,,9.02.01.05,abaca (manila hemp),NA,NA,NA,NA,wfo-0000475111,530500,"coconut, abaca (manila hemp or Musa textilis nee), ramie and other vegetable textile fibres n.e.c., raw or processed but not spun; tow, noils and waste of these fibres (including yarn waste and garnetted stock)",,,,,,,,,,,,
d11,Plant,Plant,Fibre & Wood,FiWo,TRUE,Ramie,Ramie,Ram,TRUE,Fibre,Boehmeria nivea,,No,No,b27.2,b41.2,b40.2,Boehmeria nivea,,9.02.02.01,ramie,NA,NA,NA,NA,wfo-0000567636,530500,"coconut, abaca (manila hemp or Musa textilis nee), ramie and other vegetable textile fibres n.e.c., raw or processed but not spun; tow, noils and waste of these fibres (including yarn waste and garnetted stock)",,,,,,,,,,,,
d13,Plant,Plant,Fibre & Wood,FiWo,TRUE,Silkworm Cocoon,Silk Cocoon,Sil,TRUE,Fibre,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,82,silkworms,2199,NA,5001,silk-worm cocoons suitable for reeling,,,,,,,,,,,,
d14,Plant,Plant,Fibre & Wood,FiWo,TRUE,Sisal,Sisal,Sis,TRUE,Fibre,Agave sisalana,,No,Yes,a17.1,a17.2,a17,Agave sisalana,,9.02.02.02,sisal,NA,NA,NA,NA,wfo-0000754811,no match,,,,,,,,,,,,,
d15,Plant,Plant,Fibre & Wood,FiWo,TRUE,Roselle or Hibiscus (Fibre),Hibiscus,Hibi,TRUE,Fibre,Hibiscus sp,,No,No,b27.2,b41.2,b40.2,Hibiscus sp.,Hibiscus cannabinus + Hibiscus sabdariffa + Hibiscus syriacus + Hibiscus tiliaceus + Hibiscus sabdariffa var. altissima + Hibiscus sabdariffa var. sabdariffa,9.02.01.02,kenaf,NA,NA,NA,NA,wfo-4000017873,no match,,,,,,,,,,,,,
l16,Plant,Plant,Fibre & Wood,FiWo,TRUE,Vetiver,Vetiver,Veti,TRUE,Fibre,Chrysopogon sp,"Can be Fodder, Fibre or Oil crop.",No,No,b27.2,b41.2,b40.2,Chrysopogon sp.,Chrysopogon aciculatus + Chrysopogon plumulosus + Chrysopogon orientalis + Chrysopogon aucheri,no match,no match,NA,NA,NA,NA,wfo-4000008234,no match,,,,,,,,,,,,,
l18.1,Plant,Plant,Fibre & Wood,FiWo,TRUE,Bamboo (Wood),Bamboo,Bamb,TRUE,Wood,Bambusa sp,,No,Yes,a17.1,a17.2,a17,Bambusa sp.,,no match,no match,NA,NA,NA,NA,wfo-4000004002,440921,"wood; bamboo (including unassembled strips and friezes for parquet flooring), continuously shaped along any edges, ends or faces, whether or not planed, sanded or end-jointed",,,,,,,,,,,,
l18.2,Plant,Plant,Fibre & Wood,FiWo,TRUE,Bamboo (Fibre),Bamboo,Bamb,TRUE,Fibre,Bambusa sp,,No,Yes,a17.1,a17.2,a17,Bambusa sp.,,no match,no match,NA,NA,NA,NA,wfo-4000004002,470630,pulp; of bamboo,,,,,,,,,,,,
r1.1,Plant,Plant,Fibre & Wood,FiWo,TRUE,Patula Pine,Patula Pine,Pat,TRUE,Wood,Pinus patula,,No,Yes,a17.1,a17.2,a17,NA,NA,,,NA,NA,NA,NA,wfo-0000481882,4403,"wood in the rough, whether or not stripped of bark or sapwood, or roughly squared",,,,,,,,,,,,
e1,Plant,Plant,Fruits,Fr,TRUE,Apple,Apple,App,TRUE,Fruit,Malus domestica,,No,Yes,a17.1,a17.2,a17,Malus domestica,,3.05.01,apple,NA,NA,NA,NA,wfo-0001008355,80810,"fruit, edible; apples, fresh",,,,,,,,,,,,
e2,Plant,Plant,Fruits,Fr,TRUE,Apricot,Apricot,Apr,TRUE,Fruit,Prunus armeniaca,,No,Yes,a17.1,a17.2,a17,Prunus armeniaca,,3.05.02,apricot,NA,NA,NA,NA,wfo-0000991689,80910,"fruit, edible; apricots, fresh",,,,,,,,,,,,
